,company_link,company_name
207,https://www.moneycontrol.com/india/stockpricequote/financeinvestment/advikcapitalre/ACR,advikcapitalre
208,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aecenterprises/AEC,aecenterprises
209,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/aecindia/AEC01,aecindia
210,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/aegislogistics/AL9,aegislogistics
211,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/aeonianinvestments/AI07,aeonianinvestments
212,https://www.moneycontrol.com/india/stockpricequote/engineeringindustrialequipments/aeroflexindustries/AI87,aeroflexindustries
213,https://www.moneycontrol.com/india/stockpricequote/aerpaceind/aerpaceindustries/ICV01,aerpaceindustries
214,https://www.moneycontrol.com/india/stockpricequote/aerpacere/aerpaceindustriesre/AIR01,aerpaceindustriesre
215,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aesculapiusremedies/AR05,aesculapiusremedies
216,https://www.moneycontrol.com/india/stockpricequote/specialitychemicals/aetherindustries/AI84,aetherindustries
217,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/afenterprisesre/ER04,afenterprisesre
218,https://www.moneycontrol.com/india/stockpricequote/affleindia/affleindia/AI82,affleindia
219,https://www.moneycontrol.com/india/stockpricequote/engineering/affordableroboticautomation/ARA,affordableroboticautomation
220,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/arvindfashionslimited/ARVIN54248,arvindfashionslimited
221,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/aftek/A14,aftek
222,https://www.moneycontrol.com/india/stockpricequote/trading/agarwalfloatglassindia/AFG,agarwalfloatglassindia
223,https://www.moneycontrol.com/india/stockpricequote/agarwalfortune/agarwalfortuneindia/DLF01,agarwalfortuneindia
224,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/agarwalindustrialcorporation/AIC03,agarwalindustrialcorporation
225,https://www.moneycontrol.com/india/stockpricequote/agigreenpac/agigreenpac/HSI02,agigreenpac
226,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/agiinfra/AI43,agiinfra
227,https://www.moneycontrol.com/india/stockpricequote/paper/agiopaperindustries/API08,agiopaperindustries
228,https://www.moneycontrol.com/india/stockpricequote/renewables/agnigreenpower/AGP,agnigreenpower
229,https://www.moneycontrol.com/india/stockpricequote/aquaculture/agrimarineexports/AME01,agrimarineexports
230,https://www.moneycontrol.com/india/stockpricequote/fertilisers/agritechindia/ATI02,agritechindia
231,https://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/agrimaschemicals/ACL04,agrimaschemicals
232,https://www.moneycontrol.com/india/stockpricequote/trading/agrimonycommodities/AC11,agrimonycommodities
233,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/agritechhatcheriesfoods/AHF,agritechhatcheriesfoods
234,https://www.moneycontrol.com/india/stockpricequote/fertilisers/agrochempunjab/ACP01,agrochempunjab
235,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/agrodutchindustries/ADI02,agrodutchindustries
236,https://www.moneycontrol.com/india/stockpricequote/diversified/agrophosindia/API,agrophosindia
237,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/agrotechfoods/ATF,agrotechfoods
238,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/agsinfotech/AGS02,agsinfotech
239,https://www.moneycontrol.com/india/stockpricequote/onlineservices/agstransacttechnologies/ATT,agstransacttechnologies
240,https://www.moneycontrol.com/india/stockpricequote/software/ahasolartechnologies/AT28,ahasolartechnologies
241,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/ahdvbch/SCAPD17,ahdvbch
242,https://www.moneycontrol.com/india/stockpricequote/plastics/ahimsaindustries/AI44,ahimsaindustries
243,https://www.moneycontrol.com/india/stockpricequote/ahladaengineer/ahladaengineers/AE21,ahladaengineers
244,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ahlconparenteralindia/API01,ahlconparenteralindia
245,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ahluwaliacontractsindia/ACI12,ahluwaliacontractsindia
246,https://www.moneycontrol.com/india/stockpricequote/steelrolling/ahmedabadstellcr/AS02,ahmedabadstellcr
247,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/ahuraweldingelecmfg/AWE,ahuraweldingelecmfg
248,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aichampdanyindustries/AIC02,aichampdanyindustries
249,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/aiaengineering/AIE01,aiaengineering
250,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/ambassadorintraholdings/AIHL54252,ambassadorintraholdings
251,https://www.moneycontrol.com/india/stockpricequote/packaging/aikyamintellectualpropertyconsultancy/MPU,aikyamintellectualpropertyconsultancy
252,https://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/aimcopesticides/AP03,aimcopesticides
